,Record Audio Name,Content,Pronun,Fluency,feature_vector
0,audio_beb45dff-f264-43c5-b051-61dab6a3b2a1,18,11,25,
1,audio_f86da9b5-9ed2-4153-9508-e59448e7d8bc,70,53,64,
2,audio_0e7cded9-1569-4202-98f8-59f88384437b,54,40,51,
3,audio_08bf8a53-1e31-4d82-8979-b53a14baa196,28,14,36,
4,audio_a3b474a9-3b8e-4533-aa95-0cda51f1395d,16,11,25,
5,audio_b5c899d2-bdb1-4027-90b3-6c525b293491,48,37,34,
6,audio_189f6871-0a00-476a-aaa0-81baec71e19c,52,35,53,
7,audio_8d8ff449-30a8-4540-9ea6-a6c687612252,78,62,74,
9,audio_bd1a4573-c750-4356-8af5-5c76cbbf2477,90,73,81,
10,audio_33d9dd5e-3500-4864-b11b-56955d05a88b,90,77,74,
11,audio_729d9641-7216-4cd9-9915-6724da12a796,61,43,55,
12,audio_d4ea80db-917a-4df4-a1a0-7a8a1aa6bd3a,10,10,11,
13,audio_2c777425-c709-44e2-a086-d9760f1d9cc1,90,74,77,
15,audio_8b960b4a-818a-4aab-820e-e4a674719201,56,31,60,
16,audio_93bfb61a-6629-4ebe-aa7c-e18bea9fed2f,33,15,30,
17,audio_126e5a26-766d-4aef-8d82-616a811cb627,90,74,74,
18,audio_8a773cb2-796b-4e3a-913b-b8d5243d1a78,79,58,63,
19,audio_703cf813-7665-4cf7-b5d3-afcde84a7eaf,90,80,80,
20,audio_8c086db9-ac65-45b0-b506-d8c384439787,88,72,77,
21,audio_628082ad-4478-41f8-83b5-3142ffe22469,86,71,81,
22,audio_fae2c0f2-80b2-4f5c-b579-0e94c44259da,81,65,72,
23,audio_b3e02517-cfdb-4ac0-aea0-c5e51d104df6,35,18,40,
24,audio_81ff4ad4-1029-4826-91e4-4e60e080d5be,81,70,64,
25,audio_9f737c6e-2a86-4822-a58c-d4c710b0b551,64,38,43,
26,audio_9f96d267-5030-4434-b2a0-698f6a89d5c9,81,68,72,
28,audio_3875c590-4931-42b7-aefe-05a7efb2d967,53,33,59,
29,audio_c923f671-2aa3-4d5c-ac7e-fb87049ef198,90,80,80,
30,audio_9340f928-6c4a-4607-a6eb-be4d924518cb,81,68,73,
31,audio_ea6174f3-5223-44aa-a7a5-360de591fb35,65,48,59,
32,audio_f5ac7f30-9ea1-448f-8e9f-87b59972f7f4,73,57,68,
33,audio_6148a09e-3811-4838-a13e-489831720f46,65,48,59,
34,audio_58086f34-0c46-4dba-b9a8-b8cc29429891,73,57,66,
35,audio_67206d41-490a-449c-a963-35ae5ddabc3b,10,10,14,
36,audio_8768c772-5731-4804-b438-964741e1bbce,82,61,80,
37,audio_1f03234a-ed1d-4139-b2da-54f4610c064a,53,34,51,
39,audio_cb45c01d-6446-48ac-83ca-e067c9b1869f,47,14,36,
40,audio_9efc0307-5241-414a-8346-6226a6ad6f9c,90,80,76,
41,audio_f2717f65-f976-452b-95bb-a6313bf16e70,90,80,81,
42,audio_0b1d1718-c3d3-4993-b37f-c3cc0b15ab45,77,61,72,
43,audio_d4d63711-9a1e-42fc-a299-5f3d7147d857,81,61,72,
44,audio_db6d7761-c276-422b-83b3-060f99319e6a,68,38,55,
45,audio_72d1f9e9-358d-45d7-a53d-7b062b681ddf,70,52,64,
46,audio_ca6b45c7-3239-4800-aab9-1f2c9750a123,50,31,48,
47,audio_f8e7b8fc-11c9-4a5e-90a9-34ce556a3033,70,45,59,
48,audio_83dd8f2a-aeab-4a57-9fc5-f2a9e80357f1,15,10,15,
